---
一、環境概論
1.生物累積是由於食物鏈傳遞能量的過程中，有些化學元素或化合物易為生物吸收，但不易排出。請問下列何種生物體內毒素濃度最高？,藻類,浮游動物,小魚,大魚,4
2.在同一條食物鏈中，請問何種角色的族群總質量最大？,生產者,初級消費者,分解者,最高級消費者,1
3.地球日是每年的哪一天?,6月6日,4月22日,5月28日,9月28日,2
4.世界環境日是每年的哪一天？,1月5日,3月5日,6月5日,9月5日,3
5.以下哪一個是臺北市環境教育行動方案的長期目標？,加速環境教育普及化，培育國民瞭解環境倫理,增進保護環境之知識、技能、態度及價值觀,促使重視環境，採取各項環保行動，以達永續發展,以上皆是,4
6.以下哪一個不是環境教育的原則？,終生持續的教育,正規與非正規的管道,單一化的學習方法,學習解決問題的技能,3
7.節能減碳十大無悔措施中，冷氣應控溫在,22-24℃,24-26℃,26-28℃,28-30℃,3
8.經濟、科技及社會發展對環境有嚴重不良影響或有危害之虞者，應,經濟科技及社會發展與環境保護兼籌並顧,不考慮環境保護,環境保護優先,經濟科技及社會發展優先,3
9.何者應對其所造成之環境危害或環境風險負責？,民眾,政府,事業,環境污染者或破壞者,4
10.能源的種類可分成再生能源和非再生能源，請問下列何者為再生能源？,煤,水力,甲烷,石油,2
11.為減輕因日常生活造成環境污染，消費行為不應,綠色消費,大肆採購,儉樸節約,減少消費,2
12.為預防及減輕政府政策或開發行為對環境造成不良影響，政府應建立並實施,環境與健康風險評估制度,環境影響評估制度,管制開發行為制度,環境糾紛處理制度,2
13.中央訂定環境品質及管制標準，地方政府得視其轄區內自然及社會條件訂定,較嚴,較鬆,相同,不能訂定的管制標準,1
14.「乾空氣」不包括下列何者？,氧氣,二氧化碳,氮氣,水氣,4
15.我們所處的地方屬於大氣層中的哪一層？,臭氧層,輻射層,對流層,平流層,3
16.民眾遭遇公害污染危害情事時，在臺灣最普遍的處理途徑,向各地環保機關陳情檢舉,向法院請訴，請求民事損害賠償,透過立法委員施壓,直接發函，請環保署處理,1
17.哪一項不屬於環保標章認證通過的條件？,低污染,省成本,省資源,可回收,2
18.如公害造成損害時，「原因鑑定」主要為了建立以下何種因果關係？,評估危害程度,造成損害之污染來源,何種污染物造成損害,以上皆是,3
19.「低污染、可回收、省能源」指的是哪種標章？,節能標章,省水標章,環保標章,綠建材標章,3
20.下列氣體中何者會隨大氣的運動，輸送到不同的地方，再變成雨、雪，供給各地生物所需？,氧氣,水氣,二氧化碳,氮氣,2
21.什麼季節時地下水面較高？,冬季,雨季,旱季,春季,2
22.在冰川地區何者是補充河水、地下水的重要來源？,雨水,冰雪,海水,湖水,2
23.哪一項屬於不能再生的資源？,水力,風力,太陽能,煤,3
24.下列何者是增加生物多樣性最合適的方法？,多種各種不同樹種,減少棲地的破壞,多做水土保持,停止土地的開發,2
25.海水嘗起來很鹹是因為海水中含有什麼？,氯化鈉,氯化鎂,氯化鈣,水,1
26.土石流是山崩的一種形式，常造成臺灣山區嚴重災害。若要設計土石流預警系統，則下列何項因素可做為預警的主要根據？,氣壓,風速,雨量,溫度,3
27.近年來生態研究，發現許多生物分布的區域有逐年往更高緯度或更高海拔處移動的趨勢，下列何者是最主要的原因？,臭氧洞面積增加,聖嬰現象,全球暖化,酸雨愈趨嚴重,3
28.關於大氣的敘述，下列何者錯誤？,大氣中二氧化碳所占比例比氧氣少,大氣中的水氣能調節地球表面的溫度,大氣中的臭氧層能吸收紫外線以保護地球上的生物,大氣中的溫室氣體會吸收紫外線使地球產生溫室效應,4
29.下列行為哪一項較不會造成山坡地水土流失？,建立森林保護區,開發林地成立觀光果園,興建遊樂設施,改變植被種植經濟作物,1
30.關於地下水下列何者敘述錯誤？,超抽易造成地層下陷,地下水不會受到工廠排放污染影響，因此適合灌溉,可由雨水補充,台灣常用地下水提供農業灌溉,2
31.若沒有溫室氣體的存在，全球各地的氣溫會比現在高或低？,低很多,高很多,約相等,無法確定,1
32.一旦大氣中二氧化碳含量過高，最可能引起哪一種後果？,湖泊優養化,海平面上升,地盤下陷,臭氧洞擴大,2
33.如何可以減少溫室氣體──二氧化碳？,限制各國二氧化碳排放量,大量種樹,禁止砍伐森林,以上皆是,4
34.關於都市的熱島效應何者錯誤？,因都市道路多為柏油或水泥鋪面，造成地面氣溫能量吸收多，但散熱的速度緩慢,建築使用玻璃帷幕易造成熱島效應,降雨滲透地面減少，進而蒸發或蒸散量的增加,因為建築物的屏蔽，減少風的變化和流動，導致污染物不容易散掉,3
35.氣候變遷對台灣的影響何者錯誤？,極端氣候增加,生物棲息地改變,糧食產量不受影響,病媒傳染特性改變,3
36.下列哪項生活習慣為錯誤的違法行為？,蒐集洗菜水來澆花或沖洗馬桶,使用購物袋,廢油煙排入水溝,使用電子發票代替傳統紙本發票,3
37.下列何種生活習慣對因應全球暖化屬於正向的行為？,電腦不關機,多使用冷氣,出門以開車代步,隨手關燈,4
